ble_count,cin_mux_stride,lut_size,fc_in,fc_out,fs,Tdel,T_ipin_cblock,T_local_CLB_routing,T_local_feedback,T_logic_block_output,mwta_clb,mwta_ipin_mux_trans,mwta_switch_mux_trans,mwta_switch_buf,mwta_cb_buf
2,1,5,0.15,0.1,3,7.547e-11,7.266e-11,7.046e-11,1.062e-10,2.985e-11,2975.5278912841923,1.2559575028878802,1.5082318657594311,17.142801431342413,9.313098676173926
3,1,5,0.15,0.1,3,8.232e-11,7.005e-11,9.076e-11,1.26e-10,3.123e-11,4486.6806512108715,1.2559575028878802,1.5082318657594311,19.67025031416769,9.334177442986825
4,1,5,0.15,0.1,3,8.217e-11,7.206e-11,8.408e-11,1.213e-10,3.301e-11,6121.8215605414725,1.2559575028878802,1.741,22.497694261525528,9.258547680217191
5,1,5,0.15,0.1,3,9.063e-11,7.989e-11,8.893e-11,1.278e-10,3.242e-11,8080.5187412895475,1.2559575028878802,1.741,22.851222892059607,9.371088337934053
6,1,5,0.15,0.1,3,9.805e-11,8.479e-11,9.592e-11,1.398e-10,3.388e-11,9534.75983148989,1.2559575028878802,1.741,23.763559475049583,9.526622502325273
7,1,5,0.15,0.1,3,1.012e-10,9.103e-11,8.709e-11,1.309e-10,3.673e-11,11627.615986229379,1.2559575028878802,1.961302579202418,25.539916096329307,11.07513295413934
8,1,5,0.15,0.1,3,1.098e-10,9.62e-11,9.519e-11,1.43e-10,3.616e-11,13340.461472810402,1.2559575028878802,1.961302579202418,27.270120048363495,11.18404155290757
9,1,5,0.15,0.1,3,1.142e-10,1.006e-10,9.934e-11,1.493e-10,3.437e-11,14924.490630662816,1.2559575028878802,2.1727504894282226,28.431502986439373,11.205692861064005
10,1,5,0.15,0.1,3,1.206e-10,1.057e-10,1.092e-10,1.595e-10,3.355e-11,17554.208835199217,1.2559575028878802,1.961302579202418,27.26494928007746,11.205692861064005
11,1,5,0.15,0.1,3,1.355e-10,1.089e-10,1.107e-10,1.675e-10,3.632e-11,19130.621653391358,1.2559575028878802,2.1727504894282226,39.00077254767859,11.205692861064005
12,1,5,0.15,0.1,3,1.464e-10,1.221e-10,1.167e-10,1.746e-10,4.031e-11,20904.576274405747,1.2559575028878802,2.1727504894282226,31.423123719911384,10.408392921322111
13,1,5,0.15,0.1,3,1.562e-10,1.281e-10,1.004e-10,1.636e-10,3.924e-11,24139.22353237236,1.2559575028878802,2.377488762626255,37.64766672391888,10.23618714155062
14,1,5,0.15,0.1,3,1.663e-10,1.331e-10,1.064e-10,1.651e-10,3.772e-11,25921.84178509664,1.2559575028878802,2.377488762626255,35.12440822867906,10.18836548662865
15,1,5,0.15,0.1,3,1.73e-10,1.365e-10,1.123e-10,1.768e-10,4.034e-11,27679.34462490319,1.2559575028878802,2.377488762626255,36.594176253398864,10.218821811043432
16,1,5,0.15,0.1,3,1.816e-10,1.434e-10,1.147e-10,1.788e-10,4.073e-11,29776.06362925832,1.2559575028878802,2.576915005775761,34.645877723329406,10.109644264908857
17,1,5,0.15,0.1,3,1.986e-10,1.515e-10,1.282e-10,1.982e-10,4.247e-11,33061.03067248531,1.2559575028878802,2.377488762626255,38.39306616381439,10.07446241899144
18,1,5,0.15,0.1,3,2.093e-10,1.572e-10,1.33e-10,2.044e-10,4.091e-11,35065.102097483235,1.2559575028878802,2.576915005775761,38.55760535774993,9.972606110192151
19,1,5,0.15,0.1,3,2.213e-10,1.636e-10,1.372e-10,2.111e-10,4.378e-11,36891.739687760666,1.2559575028878802,2.576915005775761,38.980233139072524,9.91902285200224
20,1,5,0.15,0.1,3,2.369e-10,1.531e-10,1.329e-10,2.109e-10,4.68e-11,38772.92753076701,1.5082318657594311,2.377488762626255,37.603540010247016,11.029138067188843
